,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
0,Qutub Minar,Mehrauli/Qutub Minar,Delhi,4.5,"['Points of Interest & Landmarks', 'Architectural Buildings']","Qutub Minar,Delhi",Qutub Minar,28.52544000000006,77.18729000000008
1,Swaminarayan Akshardham,,Delhi,4.5,"['Religious Sites', 'Gardens']","Swaminarayan Akshardham,Delhi",Swaminarayan Akshardham,28.612900000000025,77.27708000000007
2,Gurudwara Bangla Sahib,Open now,Delhi,4.5,"['Historic Sites', 'Religious Sites']","Gurudwara Bangla Sahib,Delhi",Gurudwara Bangla Sahib,28.625730000000033,77.20907000000005
3,Humayun's Tomb,Minto Road,Delhi,4.5,"['Architectural Buildings', 'Religious Sites']","Humayun's Tomb,Delhi",Humayun's Tomb,28.593150000000037,77.24458000000004
4,India Gate,Minto Road,Delhi,4.0,"['Historic Sites', 'Points of Interest & Landmarks']","India Gate,Delhi","India Gate, New Delhi, Delhi",28.613120000000038,77.22955000000007
5,Lodhi Garden,Minto Road,Delhi,4.5,Gardens,"Lodhi Garden,Delhi",Lodhi Garden,28.59033000000005,77.22069000000005
6,Lotus Temple,,Delhi,4.0,Religious Sites,"Lotus Temple,Delhi",LOTUS Temple,28.552950000000067,77.26160000000004
7,Red Fort,Chandni Chowk,Delhi,4.0,"['Historic Sites', 'Points of Interest & Landmarks']","Red Fort,Delhi",Red Fort,28.655970000000025,77.23678000000007
8,Chandni Chowk,Chandni Chowk,Delhi,4.0,Flea & Street Markets,"Chandni Chowk,Delhi","Chandni Chowk, New Delhi, Central, Delhi",28.656210000000044,77.23210000000006
9,Hauz Khas Village,Hauz Khas Village,Delhi,4.5,Neighbourhoods,"Hauz Khas Village,Delhi","Hauz Khas Village, Hauz Khas, New Delhi, South, Delhi",28.553450000000055,77.19416000000007
10,Rashtrapati Bhavan,Minto Road,Delhi,4.5,Architectural Buildings,"Rashtrapati Bhavan,Delhi",Rashtrapati Bhavan,28.614160000000027,77.20354000000003
11,Delhi Airport Metro Express,Open now,Delhi,4.5,Public Transportation Systems,"Delhi Airport Metro Express,Delhi",New Delhi Airport Express Metro Station,28.64253000000008,77.22369000000003
12,Select Citywalk,Open now,Delhi,4.5,Shopping Malls,"Select Citywalk,Delhi",Select City Walk Mall,28.529330000000073,77.21897000000007
13,ISKCON Temple Delhi,Minto Road,Delhi,4.5,"['Architectural Buildings', 'Religious Sites']","ISKCON Temple Delhi,Delhi",Iskcon Temple,28.556130000000053,77.25417000000004
14,Rajpath,Minto Road,Delhi,4.5,"['Historic Sites', 'Points of Interest & Landmarks']","Rajpath,Delhi","Rajpath, Connaught Place, New Delhi, Delhi",28.614430000000027,77.21856000000008
15,Gandhi Smriti,,Delhi,4.5,Speciality Museums,"Gandhi Smriti,Delhi",Gandhi Smriti,28.60161000000005,77.21456000000006
