,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
0,Amber Palace,,Jaipur,4.5,"['Historic Sites', 'Architectural Buildings']","Amber Palace,Jaipur",Amber Palace,26.987550000000056,75.85446000000007
1,Jantar Mantar - Jaipur,,Jaipur,4.5,Observatories & Planetariums,"Jantar Mantar - Jaipur,Jaipur","Jantar Mantar, Pink City, Jaipur, Rajasthan",26.926060000000064,75.82499000000007
2,Hawa Mahal - Palace of Wind,,Jaipur,4.0,"['Points of Interest & Landmarks', 'Architectural Buildings']","Hawa Mahal - Palace of Wind,Jaipur",Mahal Palace,26.845230000000072,75.79777000000007
3,Sheesh Mahal (Hall of Mirrors),,Jaipur,4.5,Architectural Buildings,"Sheesh Mahal (Hall of Mirrors),Jaipur",Sheesh Mahal,26.939160000000072,75.81602000000004
4,City Palace of Jaipur,,Jaipur,4.0,"['Points of Interest & Landmarks', 'History Museums']","City Palace of Jaipur,Jaipur",City Palace of Jaipur,26.925440000000037,75.82437000000004
5,Birla Mandir Temple,,Jaipur,4.5,"['Points of Interest & Landmarks', 'Architectural Buildings']","Birla Mandir Temple,Jaipur",Birla Mandir,26.892540000000054,75.81511000000006
6,Elefriend,,Jaipur,5.0,Nature & Wildlife Areas,"Elefriend,Jaipur",Friends,26.96798000000007,75.89439000000004
7,EleSafari,,Jaipur,5.0,Nature & Wildlife Areas,"EleSafari,Jaipur",Safari,26.850060000000042,75.82105000000007
8,Nahargarh Fort,,Jaipur,4.0,"['Military Museums', 'Historic Sites']","Nahargarh Fort,Jaipur","Nahargarh Fort, Jaipur, Rajasthan",26.950660000000028,75.82400000000007
9,Elefun,,Jaipur,5.0,Nature & Wildlife Areas,"Elefun,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
10,Mukesh Art Gallery,,Jaipur,5.0,"['Art Galleries', 'Art Museums']","Mukesh Art Gallery,Jaipur",Art Gallery,26.81015000000008,75.80981000000008
11,Albert Hall Museum,,Jaipur,4.0,Speciality Museums,"Albert Hall Museum,Jaipur",Albert Hall Museum,26.911260000000027,75.82012000000003
12,EleJungle,,Jaipur,5.0,Nature & Wildlife Areas,"EleJungle,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
13,Anokhi Museum of Hand Printing,,Jaipur,4.5,Speciality Museums,"Anokhi Museum of Hand Printing,Jaipur",Anokhi Museum of Hand Printing,26.992560000000026,75.85051000000004
14,Jaigarh Fort,,Jaipur,4.0,Historic Sites,"Jaigarh Fort,Jaipur",Jaigarh Fort,26.98142000000007,75.84392000000008
15,Jal Mahal,,Jaipur,4.0,"['Historic Sites', 'Architectural Buildings']","Jal Mahal,Jaipur","Jal Mahal, Amer, Jaipur, Rajasthan",26.95953000000003,75.84181000000007
16,Rajasthan Small Scale Cottage Industry,,Jaipur,4.5,Shopping Malls,"Rajasthan Small Scale Cottage Industry,Jaipur",Rajasthan Small Scale Cottage Industries,26.990300000000047,75.85266000000007
17,Monkey Temple,Open now,Jaipur,4.0,"['Points of Interest & Landmarks', 'Religious Sites']","Monkey Temple,Jaipur",Monkey Temple,26.916660000000036,75.85968000000008
18,Govind Devji Temple,,Jaipur,4.5,Religious Sites,"Govind Devji Temple,Jaipur",Govind Devji Temple,26.92903000000007,75.82263000000006
19,Eleday,,Jaipur,5.0,Nature & Wildlife Areas,"Eleday,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
20,Dera Amer Wilderness Camp,,Jaipur,4.5,Nature & Wildlife Areas,"Dera Amer Wilderness Camp,Jaipur","Amer, Jaipur, Rajasthan",27.12363000000005,75.73217000000005
21,Panna Meena ka Kund,,Jaipur,4.5,Points of Interest & Landmarks,"Panna Meena ka Kund,Jaipur","Jaitpur, Panna, Madhya Pradesh",24.949460000000045,80.25281000000007
22,Moti Dungari Temple,Open now,Jaipur,4.5,Religious Sites,"Moti Dungari Temple,Jaipur",Moti Dungri Ganesh Ji Temple,26.894800000000032,75.81658000000004
23,Akshardham Temple,,Jaipur,4.5,Religious Sites,"Akshardham Temple,Jaipur",Akshardham Temple,26.902060000000063,75.74062000000004
24,Ele Experience Farm,,Jaipur,5.0,Nature & Wildlife Areas,"Ele Experience Farm,Jaipur","Farm, Vishwakarma Industrial Area, Jaipur, Rajasthan",26.99482000000006,75.76917000000003
25,Royal Gaitor Tumbas,Open now,Jaipur,4.5,Historic Sites,"Royal Gaitor Tumbas,Jaipur",Royal Gaitor Tumbas,26.94300000000004,75.82515000000006
26,World Trade Park,,Jaipur,4.5,Shopping Malls,"World Trade Park,Jaipur",World Trade Park,26.853170000000034,75.80463000000003
27,Rusirani Village,,Jaipur,5.0,Neighbourhoods,"Rusirani Village,Jaipur","Village Jaitpur, Theta 2, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",28.492150000000038,77.53894000000008
28,Patrika Gate,,Jaipur,4.5,"['Points of Interest & Landmarks', 'Architectural Buildings']","Patrika Gate,Jaipur",Patrika Gate,26.841830000000073,75.80156000000005
29,Jawahar Kala Kendra,,Jaipur,4.5,"['Speciality Museums', 'Theatres']","Jawahar Kala Kendra,Jaipur",Jawahar Kala Kendra Jaipur,26.88498000000004,75.89674000000008
30,Gatore Ki Chhatriyan,,Jaipur,4.5,Points of Interest & Landmarks,"Gatore Ki Chhatriyan,Jaipur",Gatore Ki Chhatriyan,26.94252000000006,75.82481000000007
31,Diwan-e-Khas Hall of Private Audience,,Jaipur,4.5,"['Architectural Buildings', 'Monuments & Statues']","Diwan-e-Khas Hall of Private Audience,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
32,"Khole Ke Hanuman JI Temple, Jaipur",,Jaipur,4.5,"['Architectural Buildings', 'Religious Sites']","Khole Ke Hanuman JI Temple, Jaipur,Jaipur",Khole Ke Hanuman Ji,26.933800000000076,75.85390000000007
33,Jaipur Wax Museum,,Jaipur,4.5,Speciality Museums,"Jaipur Wax Museum,Jaipur",Jaipur Wax Museum,26.939160000000072,75.81598000000008
34,Ganesh Pol Gateway,,Jaipur,4.5,"['Points of Interest & Landmarks', 'Architectural Buildings']","Ganesh Pol Gateway,Jaipur",Ganesh Pol,26.987430000000074,75.85071000000005
35,Galtaji Temple,,Jaipur,4.0,Religious Sites,"Galtaji Temple,Jaipur",Galta Ji Temple,26.917120000000068,75.85811000000007
36,Central Park,,Jaipur,4.5,Parks,"Central Park,Jaipur","Central Park, C-Scheme, Jaipur, Rajasthan",26.90593000000007,75.80912000000006
37,Gyan Museum,,Jaipur,5.0,"['Art Galleries', 'Art Museums']","Gyan Museum,Jaipur","Gyan Marg, Tilak Nagar, Jaipur, Rajasthan, 302004",26.889944690213078,75.82817772488639
38,Jawahar Circle Garden,,Jaipur,4.0,Gardens,"Jawahar Circle Garden,Jaipur","Jawahar Circle Road, Taron Ki Koont, Jaipur, Rajasthan, 302017",26.838792178014092,75.79500500417876
39,"Jewels Lake Palace , Jaipur",,Jaipur,5.0,Art Galleries,"Jewels Lake Palace , Jaipur,Jaipur",Jewels Lake Palace,26.950630000000046,75.84144000000003
40,My Elephant Trip,,Jaipur,4.5,Nature & Wildlife Areas,"My Elephant Trip,Jaipur","Elephant Road, Amer, Jaipur, Rajasthan, 302028",26.985650451990356,75.85090952144786
41,Shila Devi Temple,,Jaipur,4.5,Religious Sites,"Shila Devi Temple,Jaipur",Shila Devi Temple,26.984530000000063,75.85196000000008
42,Jaivana,,Jaipur,4.5,Points of Interest & Landmarks,"Jaivana,Jaipur",Jaivana Top,26.979700000000037,75.84353000000004
43,B M Birla Auditorium,,Jaipur,4.5,Convention Centres,"B M Birla Auditorium,Jaipur",B M Birla Auditorium,26.906940000000077,75.80670000000003
44,Jagat Shiromani Ji Temple,Open now,Jaipur,4.5,Points of Interest & Landmarks,"Jagat Shiromani Ji Temple,Jaipur",Sri Jagat Siromani Ji Temple,26.98930000000007,75.85148000000004
45,Maharaja Sawai Man Singh II Museum,,Jaipur,4.0,Speciality Museums,"Maharaja Sawai Man Singh II Museum,Jaipur",Maharaja Sawai Man Singh 2 Museum,26.944860000000062,75.83983000000006
46,The Vedic Astrology Experience,,Jaipur,4.5,Points of Interest & Landmarks,"The Vedic Astrology Experience,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
47,Sisodia Rani Palace and Garden,,Jaipur,4.0,"['Historic Sites', 'Architectural Buildings']","Sisodia Rani Palace and Garden,Jaipur",Sisodia Rani Palace & Garden,26.899600000000078,75.85860000000008
48,Elephant Fun Park,,Jaipur,5.0,Nature & Wildlife Areas,"Elephant Fun Park,Jaipur",Elephant,26.90390000000008,75.82063000000005
49,Kerala Ayurveda Kendra,,Jaipur,5.0,Spas,"Kerala Ayurveda Kendra,Jaipur",Kerala Ayurveda Kendra,26.937280000000044,75.78985000000006
50,EleJaipur,,Jaipur,4.5,Nature & Wildlife Areas,"EleJaipur,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
51,Elephant Activity Planner,,Jaipur,5.0,Nature & Wildlife Areas,"Elephant Activity Planner,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
52,Man Sagar Lake,,Jaipur,4.0,Bodies of Water,"Man Sagar Lake,Jaipur",Man Sagar Lake,26.95402000000007,75.84244000000007
53,Ram Niwas Garden,,Jaipur,4.0,Gardens,"Ram Niwas Garden,Jaipur",Ram Niwas Garden,26.915700000000072,75.82042000000007
54,Diwan-e-Aam Hall of Public Audience,,Jaipur,4.0,"['Art Galleries', 'Architectural Buildings']","Diwan-e-Aam Hall of Public Audience,Jaipur",Hall of Public Audience,26.987400000000036,75.85066000000006
55,Chandra Mahal,,Jaipur,4.0,Historic Sites,"Chandra Mahal,Jaipur",Chandra Mahal,26.925440000000037,75.82443000000006
56,Swargasuli Tower,,Jaipur,4.0,Monuments & Statues,"Swargasuli Tower,Jaipur",Sargasuli Tower,26.92426000000006,75.82088000000005
57,Jaipur Blue Pottery Art Centre,,Jaipur,5.0,Speciality & Gift Shops,"Jaipur Blue Pottery Art Centre,Jaipur",Jaipur Blue Pottery Art Centre,26.942850000000078,75.83940000000007
58,Rajputana Cabs,Open now,Jaipur,5.0,Taxis & Shuttles,"Rajputana Cabs,Jaipur",Rajputana,26.887650000000065,75.88407000000007
59,Dream Cab Jaipur,Open now,Jaipur,5.0,Taxis & Shuttles,"Dream Cab Jaipur,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
60,New Maharaja Gem Palace,,Jaipur,5.0,Speciality & Gift Shops,"New Maharaja Gem Palace,Jaipur",Gem Palace,26.91793000000007,75.84399000000008
61,Heritage Textiles,,Jaipur,5.0,"['Speciality & Gift Shops', 'Factory Outlets']","Heritage Textiles,Jaipur",Heritage Textile,26.92969000000005,75.82898000000006
62,Ranthambore Tour Cab,Open now,Jaipur,5.0,Taxis & Shuttles,"Ranthambore Tour Cab,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
63,YogaPeace,,Jaipur,5.0,Yoga & Pilates,"YogaPeace,Jaipur",Yogapeace,26.939320000000066,75.79686000000004
64,Jaipur Delhi Cab,Open now,Jaipur,5.0,Taxis & Shuttles,"Jaipur Delhi Cab,Jaipur","Jaitpur, New Delhi, South East, Delhi",28.50233000000003,77.32960000000008
65,Channi Carpets &amp; Textiles,,Jaipur,5.0,Speciality & Gift Shops,"Channi Carpets &amp; Textiles,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
66,Silverine Spa &amp; Salon,,Jaipur,5.0,Spas,"Silverine Spa &amp; Salon,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
67,Om Sai Textiles,,Jaipur,5.0,Speciality & Gift Shops,"Om Sai Textiles,Jaipur",Om Sai Textiles,26.928850000000068,75.79841000000005
68,Pink City Cooking Class,,Jaipur,5.0,Cooking Classes,"Pink City Cooking Class,Jaipur","Pink City, Jaipur, Rajasthan",26.919790000000035,75.83340000000004
69,Fair Deal Textile,,Jaipur,5.0,Speciality & Gift Shops,"Fair Deal Textile,Jaipur",Fair Deal Textile,26.928690000000074,75.79516000000007
70,Maharshi Charak Ayurveda Jaipur,,Jaipur,5.0,Spas,"Maharshi Charak Ayurveda Jaipur,Jaipur","Maharshi Marg, Gopalpura, Jaipur, Rajasthan, 302015",26.872318760308524,75.78092281782024
71,Dayma Taxi Service,Open now,Jaipur,5.0,Taxis & Shuttles,"Dayma Taxi Service,Jaipur",Jaipur Tourist Taxi Service,28.693290000000047,77.14669000000004
72,Akee International,,Jaipur,5.0,Speciality & Gift Shops,"Akee International,Jaipur",Akee International,26.919620000000066,75.80050000000006
73,Jaipur Cooking Classes,,Jaipur,5.0,Cooking Classes,"Jaipur Cooking Classes,Jaipur",Jaipur Cooking,26.966480000000047,75.84838000000008
74,Satyam Silver,,Jaipur,5.0,Speciality & Gift Shops,"Satyam Silver,Jaipur",Satyam,26.897680000000037,75.73044000000004
75,Rajasthan Pink City Cabs,,Jaipur,5.0,Taxis & Shuttles,"Rajasthan Pink City Cabs,Jaipur",Raj,26.914420000000064,75.83529000000004
76,Jeypore Souvenirs,,Jaipur,5.0,Speciality & Gift Shops,"Jeypore Souvenirs,Jaipur",Jeypore Souvenirs,26.94488000000007,75.83879000000007
77,Ethnic Textiles,,Jaipur,5.0,Speciality & Gift Shops,"Ethnic Textiles,Jaipur",Ethnic Textile,26.925380000000075,75.80068000000006
78,Raj Mandir Cinema,,Jaipur,4.5,Cinemas,"Raj Mandir Cinema,Jaipur",Lakshmi Mandir Cinema-Jaipur,26.88113000000004,75.79817000000008
79,Shivam Gems N Jewellery,,Jaipur,5.0,Speciality & Gift Shops,"Shivam Gems N Jewellery,Jaipur",N. A. Gems Jewellers,26.92148000000003,75.82260000000008
80,Jal Mahal Textile &amp; Carpets,,Jaipur,5.0,Speciality & Gift Shops,"Jal Mahal Textile &amp; Carpets,Jaipur","Jal Mahal, Amer, Jaipur, Rajasthan",26.95953000000003,75.84181000000007
81,Gems Paradise,,Jaipur,5.0,Speciality & Gift Shops,"Gems Paradise,Jaipur",Gems Paradise,26.916800000000023,75.81324000000006
82,Carpet And Textile House,,Jaipur,5.0,"['Speciality & Gift Shops', 'Factory Outlets']","Carpet And Textile House,Jaipur",Saraf Carpet and Textiles,26.934810000000027,75.83333000000005
83,Rajasthan Unique Experience,Open now,Jaipur,5.0,Taxis & Shuttles,"Rajasthan Unique Experience,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
84,Chand's Ayurveda Massage &amp; Beauty Saloon,,Jaipur,5.0,Spas,"Chand's Ayurveda Massage &amp; Beauty Saloon,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
85,Royal Spices And Tea,,Jaipur,5.0,Speciality & Gift Shops,"Royal Spices And Tea,Jaipur",Royal Spices and Tea,26.942170000000033,75.83889000000005
86,Raja rickshaw,Open now,Jaipur,5.0,Taxis & Shuttles,"Raja rickshaw,Jaipur",Raja,26.858880000000056,75.81004000000007
87,K.L,,Jaipur,4.5,Speciality & Gift Shops,"K.L,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
88,House Of Play,,Jaipur,5.0,Game & Entertainment Centres,"House Of Play,Jaipur",A. K. Play House,26.895120000000077,75.82707000000005
89,Ratnavali Arts,,Jaipur,5.0,Speciality & Gift Shops,"Ratnavali Arts,Jaipur",Ratnavali Arts,26.947940000000074,75.84153000000003
90,New Maharaja Gem Palace,,Jaipur,5.0,"['Speciality & Gift Shops', 'Art Galleries']","New Maharaja Gem Palace,Jaipur",Gem Palace,26.91793000000007,75.84399000000008
91,Heritage Textiles,,Jaipur,5.0,Speciality & Gift Shops,"Heritage Textiles,Jaipur",Heritage Textile,26.92969000000005,75.82898000000006
92,Ranthambore Tour Cab,,Jaipur,5.0,Taxis & Shuttles,"Ranthambore Tour Cab,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
93,YogaPeace,,Jaipur,5.0,"['Speciality & Gift Shops', 'Lessons & Workshops']","YogaPeace,Jaipur",Yogapeace,26.939320000000066,75.79686000000004
94,Jaipur Delhi Cab,,Jaipur,4.0,Speciality & Gift Shops,"Jaipur Delhi Cab,Jaipur","Jaitpur, New Delhi, South East, Delhi",28.50233000000003,77.32960000000008
95,Channi Carpets &amp; Textiles,,Jaipur,5.0,"['Speciality & Gift Shops', 'Antique Shops']","Channi Carpets &amp; Textiles,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
96,Silverine Spa &amp; Salon,,Jaipur,5.0,Speciality & Gift Shops,"Silverine Spa &amp; Salon,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
97,Om Sai Textiles,,Jaipur,5.0,"['Speciality & Gift Shops', 'Antique Shops']","Om Sai Textiles,Jaipur",Om Sai Textiles,26.928850000000068,75.79841000000005
98,Pink City Cooking Class,,Jaipur,5.0,Game & Entertainment Centres,"Pink City Cooking Class,Jaipur","Pink City, Jaipur, Rajasthan",26.919790000000035,75.83340000000004
99,Fair Deal Textile,,Jaipur,5.0,Speciality & Gift Shops,"Fair Deal Textile,Jaipur",Fair Deal Textile,26.928690000000074,75.79516000000007
100,Maharshi Charak Ayurveda Jaipur,,Jaipur,5.0,Speciality & Gift Shops,"Maharshi Charak Ayurveda Jaipur,Jaipur","Maharshi Marg, Gopalpura, Jaipur, Rajasthan, 302015",26.872318760308524,75.78092281782024
101,Dayma Taxi Service,,Jaipur,5.0,Nature & Wildlife Tours,"Dayma Taxi Service,Jaipur",Jaipur Tourist Taxi Service,28.693290000000047,77.14669000000004
102,Akee International,,Jaipur,4.5,Spas,"Akee International,Jaipur",Akee International,26.919620000000066,75.80050000000006
103,Jaipur Cooking Classes,,Jaipur,5.0,Speciality & Gift Shops,"Jaipur Cooking Classes,Jaipur",Jaipur Cooking,26.966480000000047,75.84838000000008
104,Satyam Silver,Open now,Jaipur,5.0,Taxis & Shuttles,"Satyam Silver,Jaipur",Satyam,26.897680000000037,75.73044000000004
105,Rajasthan Pink City Cabs,,Jaipur,4.5,Speciality & Gift Shops,"Rajasthan Pink City Cabs,Jaipur",Raj,26.914420000000064,75.83529000000004
106,Jeypore Souvenirs,Open now,Jaipur,5.0,"['Yoga & Pilates', 'Cooking Classes']","Jeypore Souvenirs,Jaipur",Jeypore Souvenirs,26.94488000000007,75.83879000000007
107,Ethnic Textiles,,Jaipur,5.0,Lessons & Workshops,"Ethnic Textiles,Jaipur",Ethnic Textile,26.925380000000075,75.80068000000006
108,Raj Mandir Cinema,Open now,Jaipur,5.0,Taxis & Shuttles,"Raj Mandir Cinema,Jaipur",Lakshmi Mandir Cinema-Jaipur,26.88113000000004,75.79817000000008
109,Shivam Gems N Jewellery,,Jaipur,5.0,Game & Entertainment Centres,"Shivam Gems N Jewellery,Jaipur",N. A. Gems Jewellers,26.92148000000003,75.82260000000008
110,Jal Mahal Textile &amp; Carpets,,Jaipur,5.0,"['Paint & Pottery Studios', 'Lessons & Workshops']","Jal Mahal Textile &amp; Carpets,Jaipur","Jal Mahal, Amer, Jaipur, Rajasthan",26.95953000000003,75.84181000000007
111,Gems Paradise,,Jaipur,5.0,Lessons & Workshops,"Gems Paradise,Jaipur",Gems Paradise,26.916800000000023,75.81324000000006
112,Carpet And Textile House,,Jaipur,5.0,Speciality & Gift Shops,"Carpet And Textile House,Jaipur",Saraf Carpet and Textiles,26.934810000000027,75.83333000000005
113,Rajasthan Unique Experience,,Jaipur,5.0,Speciality & Gift Shops,"Rajasthan Unique Experience,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
114,Chand's Ayurveda Massage &amp; Beauty Saloon,,Jaipur,4.0,Speciality & Gift Shops,"Chand's Ayurveda Massage &amp; Beauty Saloon,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
115,Royal Spices And Tea,,Jaipur,5.0,"['Multi-day Tours', 'Cultural Tours']","Royal Spices And Tea,Jaipur",Royal Spices and Tea,26.942170000000033,75.83889000000005
116,Raja rickshaw,,Jaipur,5.0,Speciality & Gift Shops,"Raja rickshaw,Jaipur",Raja,26.858880000000056,75.81004000000007
117,K.L,,Jaipur,5.0,Lessons & Workshops,"K.L,Jaipur","Jaipur, Rajasthan",26.925890000000038,75.80676000000005
118,House Of Play,Open now,Jaipur,5.0,Taxis & Shuttles,"House Of Play,Jaipur",A. K. Play House,26.895120000000077,75.82707000000005
119,Ratnavali Arts,,Jaipur,5.0,Speciality & Gift Shops,"Ratnavali Arts,Jaipur",Ratnavali Arts,26.947940000000074,75.84153000000003
