,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
0,Victoria Memorial Hall,,Kolkata,4.5,Speciality Museums,"Victoria Memorial Hall,Kolkata",Victoria Memorial Hall,22.54735000000005,88.34301000000005
1,Dakshineswar Kali Temple,,Kolkata,4.5,"['Points of Interest & Landmarks', 'Religious Sites']","Dakshineswar Kali Temple,Kolkata",Dakshineswar Kali Temple,22.65515000000005,88.35791000000006
2,Howrah Bridge,,Kolkata,4.5,Bridges,"Howrah Bridge,Kolkata","Howrah Bridge, B B D Bagh, Kolkata, West Bengal, 700007",22.584563866595094,88.34913410037579
3,Mother House,,Kolkata,4.5,Points of Interest & Landmarks,"Mother House,Kolkata",Mother,22.523390000000063,88.36021000000005
4,Park Street,,Kolkata,4.5,Points of Interest & Landmarks,"Park Street,Kolkata","Park Street, Kolkata, West Bengal",22.54642000000007,88.35401000000007
5,Eden Gardens,,Kolkata,4.5,Arenas & Stadiums,"Eden Gardens,Kolkata","Eden Gardens, B B D Bagh, Kolkata, West Bengal",22.56606000000005,88.34257000000008
6,Eco Tourism Park,,Kolkata,4.5,Parks,"Eco Tourism Park,Kolkata",Tourist Inn-Park Street,22.558050000000037,88.35368000000005
7,College Street (Boi Para),,Kolkata,4.5,Points of Interest & Landmarks,"College Street (Boi Para),Kolkata","College Street, Shyambazar, Kolkata, West Bengal, 700004",22.598168239254264,88.37223161668341
8,Indian Museum (Jadu Ghar),,Kolkata,4.0,"['Natural History Museums', 'History Museums']","Indian Museum (Jadu Ghar),Kolkata","Indian Museum, Taltala, Kolkata, West Bengal",22.556550000000072,88.35345000000007
9,South Park Street Cemetery,,Kolkata,4.5,Cemeteries,"South Park Street Cemetery,Kolkata",South Park Street Cemetery,22.546860000000038,88.35938000000004
10,Science City,,Kolkata,4.0,"['Amusement & Theme Parks', 'Science Museums']","Science City,Kolkata",Science City,22.54260000000005,88.39664000000005
11,St. Paul's Cathedral,,Kolkata,4.0,Churches & Cathedrals,"St. Paul's Cathedral,Kolkata","ST. Paul's Cathedral, Maidan, Kolkata, West Bengal",22.544740000000047,88.34606000000008
12,Metro Railway,,Kolkata,4.0,Public Transportation Systems,"Metro Railway,Kolkata",Metro Railway Quarter,22.62295000000006,88.39263000000005
13,New Market,,Kolkata,4.0,Flea & Street Markets,"New Market,Kolkata","New Market, Taltala, Kolkata, West Bengal",22.560430000000053,88.35213000000005
14,Birla Temple,,Kolkata,4.5,Religious Sites,"Birla Temple,Kolkata","Birla, Maidan, Kolkata, West Bengal",22.545980000000043,88.34746000000007
15,Prinsep Ghat,,Kolkata,4.0,Parks,"Prinsep Ghat,Kolkata","Prinsep Ghat, Hastings, Kolkata, West Bengal",22.55472000000003,88.33171000000004
16,Jorasanko Thakur Bari,,Kolkata,4.5,"['Historic Sites', 'Architectural Buildings']","Jorasanko Thakur Bari,Kolkata","Jorasanko Thakur Bari, Girish Park, Kolkata, West Bengal",22.583980000000054,88.36195000000004
17,Jain Swetamber Dadajika Temple,,Kolkata,4.5,Religious Sites,"Jain Swetamber Dadajika Temple,Kolkata",Jain Swetamber Dadaji Temple,22.591450000000066,88.37829000000005
18,Birla Planetarium,,Kolkata,4.0,Observatories & Planetariums,"Birla Planetarium,Kolkata",M. P. Birla Planetarium,22.545650000000023,88.34684000000004
19,Gariahat Market,,Kolkata,4.0,Points of Interest & Landmarks,"Gariahat Market,Kolkata",Gariahat Market,22.519690000000026,88.36551000000009
20,Quest Mall,,Kolkata,4.5,Shopping Malls,"Quest Mall,Kolkata",Quest Mall,22.539500000000032,88.36553000000004
21,Maidan,,Kolkata,4.0,Parks,"Maidan,Kolkata","Maidan, Kolkata, West Bengal",22.55704000000003,88.34609000000006
22,Netaji Bhawan,,Kolkata,4.5,Speciality Museums,"Netaji Bhawan,Kolkata",Netaji Bhawan,22.53767000000005,88.34705000000008
23,Rabindra Sarovar,,Kolkata,4.5,Bodies of Water,"Rabindra Sarovar,Kolkata","Rabindra Sarobar, Lake, Kolkata, West Bengal",22.50923000000006,88.35434000000004
24,Tagore House,,Kolkata,4.5,Speciality Museums,"Tagore House,Kolkata",Tagores House,22.515870000000064,88.37057000000004
